"name","stockcode","percentage","size","standard_drinks","special","package","package_size","total_price","unit_price","cost_per_standard"
Coopers Best Extra Stout Bottles 375mL,"25600",6.3,375.0,1.9,false,pack,6,26.99,4.5,2.37
Coopers Best Extra Stout Bottles 375mL,"25600",6.3,375.0,1.9,false,case,24,75.95,3.16,1.67
Coopers Pale Ale Bottles 375mL,"25620",4.5,375.0,1.3,false,bottle,1,5.99,5.99,4.61
Coopers Pale Ale Bottles 375mL,"25620",4.5,375.0,1.3,false,pack,6,23.99,4.0,3.08
Coopers Pale Ale Bottles 375mL,"25620",4.5,375.0,1.3,true,case,24,59.0,2.46,1.89
Coopers Pale Ale Bottles 375mL,"25620",4.5,375.0,1.3,false,case,24,62.95,2.62,2.02
"4 Pines Pale Ale Can 6X375ml","256271",5.14,375.0,1.5,false,bottle,1,5.49,5.49,3.66
"4 Pines Pale Ale Can 6X375ml","256271",5.14,375.0,1.5,false,pack,6,23.49,3.91,2.61
"4 Pines Pale Ale Can 6X375ml","256271",5.14,375.0,1.5,false,case,18,58.99,3.28,2.18
Hawkesbury Brewing Co Pale Ale Cans 375mL,"256955",4.2,375.0,1.2,false,bottle,1,5.99,5.99,4.99
Hawkesbury Brewing Co Pale Ale Cans 375mL,"256955",4.2,375.0,1.2,false,pack,4,16.99,4.25,3.54
Hawkesbury Brewing Co Pale Ale Cans 375mL,"256955",4.2,375.0,1.2,false,case,24,82.99,3.46,2.88
Better Beer Arvo Ale Cans 355mL,"260855",4.2,355.0,1.18,false,bottle,1,4.99,4.99,4.23
Better Beer Arvo Ale Cans 355mL,"260855",4.2,355.0,1.18,true,pack,6,20.0,3.33,2.82
Better Beer Arvo Ale Cans 355mL,"260855",4.2,355.0,1.18,false,pack,6,23.99,4.0,3.39
Better Beer Arvo Ale Cans 355mL,"260855",4.2,355.0,1.18,false,case,24,71.99,3.0,2.54
Little Creatures Pale Ale Cans 375mL MPK,"264652",5.2,375.0,1.5,false,bottle,1,6.69,6.69,4.46
Little Creatures Pale Ale Cans 375mL MPK,"264652",5.2,375.0,1.5,false,pack,4,23.99,6.0,4.0
Little Creatures Pale Ale Cans 375mL MPK,"264652",5.2,375.0,1.5,false,case,16,68.99,4.31,2.87
Largo The Dawdler Low Carb Lager Cans 6x375mL,"267855",3.2,375.0,1.0,false,bottle,1,2.4,2.4,2.4
